Train on 22522 samples, validate on 5716 samples
Epoch 1/2

   64/22522 [..............................] - ETA: 4:03 - loss: 1.6848
  128/22522 [..............................] - ETA: 2:29 - loss: 1.5875
  192/22522 [..............................] - ETA: 1:58 - loss: 1.4815
  256/22522 [..............................] - ETA: 1:43 - loss: 1.4039
  320/22522 [..............................] - ETA: 1:33 - loss: 1.3186
  384/22522 [..............................] - ETA: 1:26 - loss: 1.2345
  448/22522 [..............................] - ETA: 1:23 - loss: 1.1627
  512/22522 [..............................] - ETA: 1:19 - loss: 1.0999
  576/22522 [..............................] - ETA: 1:16 - loss: 1.0285
  640/22522 [..............................] - ETA: 1:14 - loss: 1.0026
  704/22522 [..............................] - ETA: 1:12 - loss: 0.9571
  768/22522 [>.............................] - ETA: 1:11 - loss: 0.9393
  832/22522 [>.............................] - ETA: 1:11 - loss: 0.9166
  896/22522 [>.............................] - ETA: 1:10 - loss: 0.9026
  960/22522 [>.............................] - ETA: 1:09 - loss: 0.8898
 1024/22522 [>.............................] - ETA: 1:09 - loss: 0.8736
 1088/22522 [>.............................] - ETA: 1:08 - loss: 0.8449
 1152/22522 [>.............................] - ETA: 1:08 - loss: 0.8479
 1216/22522 [>.............................] - ETA: 1:07 - loss: 0.8379
 1280/22522 [>.............................] - ETA: 1:07 - loss: 0.8318
 1344/22522 [>.............................] - ETA: 1:06 - loss: 0.8178
 1408/22522 [>.............................] - ETA: 1:06 - loss: 0.7982
 1472/22522 [>.............................] - ETA: 1:05 - loss: 0.7972
 1536/22522 [=>............................] - ETA: 1:05 - loss: 0.7935
 1600/22522 [=>............................] - ETA: 1:05 - loss: 0.7789
 1664/22522 [=>............................] - ETA: 1:04 - loss: 0.7683
 1728/22522 [=>............................] - ETA: 1:03 - loss: 0.7645
 1792/22522 [=>............................] - ETA: 1:03 - loss: 0.7592
 1856/22522 [=>............................] - ETA: 1:02 - loss: 0.7547
 1920/22522 [=>............................] - ETA: 1:02 - loss: 0.7492
 1984/22522 [=>............................] - ETA: 1:01 - loss: 0.7451
 2048/22522 [=>............................] - ETA: 1:01 - loss: 0.7411
 2112/22522 [=>............................] - ETA: 1:00 - loss: 0.7340
 2176/22522 [=>............................] - ETA: 1:00 - loss: 0.7378
 2240/22522 [=>............................] - ETA: 1:00 - loss: 0.7328
 2304/22522 [==>...........................] - ETA: 59s - loss: 0.7251 
 2368/22522 [==>...........................] - ETA: 59s - loss: 0.7216
 2432/22522 [==>...........................] - ETA: 58s - loss: 0.7164
 2496/22522 [==>...........................] - ETA: 58s - loss: 0.7125
 2560/22522 [==>...........................] - ETA: 58s - loss: 0.7055
 2624/22522 [==>...........................] - ETA: 57s - loss: 0.7006
 2688/22522 [==>...........................] - ETA: 57s - loss: 0.6971
 2752/22522 [==>...........................] - ETA: 57s - loss: 0.6999
 2816/22522 [==>...........................] - ETA: 56s - loss: 0.6930
 2880/22522 [==>...........................] - ETA: 56s - loss: 0.6885
 2944/22522 [==>...........................] - ETA: 56s - loss: 0.6825
